com.samsung.health.sleep_stage,6195017,6,,,,,,,,
55:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,56:00.0,84679866-8153-4f1e-ab9c-16c75c4e905a
56:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,e40c25cb-91c1-4551-920c-666a01b7b6ef
01:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,b9523e94-dc4c-46ac-aa70-0cca59ada551
04:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,e105ad79-2bcf-4850-9344-e3891f459576
05:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,4ee6bd1f-5f30-43aa-b837-601f2bc2e4d5
08:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,20:00.0,0ed2e4d4-5228-4935-8a41-880060837c17
20:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,f42c2c39-8322-4ffa-af3b-31160673211c
22:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,34:00.0,0df84039-8d94-4bae-9892-87509ceb2313
34:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,35:00.0,b0e87591-bc44-4e3c-a19c-85b4d47a887f
35:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,6a9ca109-5e98-4cbd-a228-b6daabfc5773
36:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,6f1165ba-042f-4e7a-b4f1-db8932862303
37:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,0895cc2a-54db-4e99-8f86-2518ea7c40e9
38:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,45:00.0,4bb9b15a-a1dd-4836-b344-1a6cf280747b
45:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,6d7f7951-0172-4230-83e2-04d61184cf73
46:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,505bb7cd-057e-440b-9834-9d404f04f9b3
03:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,939a44fa-4206-4870-b0b1-20c513215fcc
04:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,20:00.0,2735d8b0-7b0c-4213-ac6d-b3c3f1c48e42
20:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,51e2727d-d764-401c-b185-8ff0efdb7691
21:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,c6cfdb78-a590-4296-94c3-daa4a64be1f1
30:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,45:00.0,035795fd-d69a-462a-8cb7-e6806c7dcabe
45:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,469be52c-522c-4584-b732-5a1e833a3a4f
47:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,da3c60e2-dada-4731-85dd-fae79955d416
48:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,236c1cbb-cb6a-424e-aeb4-e35543c129d4
49:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,04a04dcb-c8f7-4144-9903-15cd6ddbb3df
00:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,02:00.0,b29c936a-37e0-47a5-bd0d-2fecfef894ea
02:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,7ca125cf-3d64-4c8e-8266-5e42093496d3
05:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,5cfbaac7-71e7-4839-8dcc-3ce9d3b0872b
07:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,19cc5d64-8806-4bbc-8798-910f725639d4
22:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,b33b8532-cbde-42d4-b13b-81bfd3ec36e9
24:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,565a9f95-3bd8-4864-8159-d097103711d1
27:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,236d6eda-b111-4784-b30a-224557c897e8
29:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,6061997f-a6eb-4a50-a05a-49cade16dd81
36:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,1ad31864-f15c-4519-a91d-66862b95d5f1
48:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,457f8725-e64a-42cd-94e2-b6e259fdb871
49:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,04d1b4b6-a6f4-4244-99a6-e3550c554559
51:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,52:00.0,752f1e33-3858-4b2a-aece-edfcf738b3f4
52:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,e40a1f37-5ad5-4773-b213-2b719f1e6495
58:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,59:00.0,f7745b60-0007-4e85-aaf9-272236f4bbd6
59:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,074486f4-9c4f-4bbd-acc2-91ef19fade3b
03:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,6614c8da-538e-4613-9346-fc86c328f585
05:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,2a839739-3439-4fe5-af75-fb1fdc665f86
06:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,036877ad-44fd-40bf-a45c-fb303275332e
15:00.0,534434fe-bdcb-4788-9370-eb05cc1a15ee,,38:50.9,38:50.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,3a043c64-af82-4756-acc2-9e9b8165cfa0
43:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,f982d893-70fd-4a6d-afda-2fbb2a11f0fa
22:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,636a9f8b-45ce-4aab-acf3-28efe202e39f
30:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,2ad20972-fe9e-4ae2-8158-6f3297a82719
38:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,005d831e-36b7-4896-bf20-8883140b103f
27:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,39:00.0,81913c58-365a-4e3b-af7c-6cb3a6554739
39:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,ff699f8e-b419-4d00-b9d2-d4d68749cc70
41:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,050dbe77-9ead-45c2-a309-75f742fd740e
46:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,53:00.0,a1ed03cf-6df1-4e33-a9aa-fd8c7940b4b0
53:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,96806745-3f05-4788-8808-d14c779c20bd
15:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,16:00.0,261e26ae-ce08-4bf2-9b20-14588eb6f49b
16:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,20:00.0,78fca9ce-4712-4d56-9c83-5b6ea3dceb4d
20:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,132af04b-b39b-485c-88b6-57440a2784fc
22:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,3d6e693a-cf7d-4e2d-8732-467f8945e6a9
48:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,50:00.0,fb68d0bb-748d-408c-881f-fe2596699880
50:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,53:00.0,748acbf6-fe9a-4b67-8183-fd07cf5d2781
53:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,75067906-01b9-40e5-8fe4-7189a9c05037
54:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,8d9e952d-1487-4003-b3e0-b5b7c173001f
09:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,91c2d816-fb37-429b-ba1b-1357578255e8
10:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,12:00.0,3f06a257-5903-4d68-847c-a995145c24f2
12:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,ae8927ad-3f88-454b-8e78-20c87d9156fc
13:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,14:00.0,78fcc6ca-1ef1-4d76-8179-921a263e4d04
14:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,c098ab33-c77a-4423-97f2-df00a1252268
15:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,50bb235a-5337-4faa-a03e-78e1586ab542
43:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,106f514f-e18b-42e4-91ab-a1fee977abe3
09:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,11:00.0,4ac64f09-0ca7-4d8e-ab93-a3c518c716f3
11:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,12:00.0,689faffd-553d-4f0c-a24b-84543d995123
12:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:39.9,15:39.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,3c6311a6-d467-4379-9b0b-59a8f62f6dd7
13:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,2a5fc91f-3345-420b-8ae3-2621ceb4cbd2
26:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,cb9376d7-4620-4837-8c3c-1115d026c30c
27:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,35:00.0,5dc145ee-e61a-4932-8dd0-e56a16c7f87f
35:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,6d4b9809-d9cf-44fb-8d70-c55653579706
42:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,c8433098-2971-415d-b0e6-1a78dcedee8b
51:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,725b3278-b40c-4ea1-a3a7-369c74485734
57:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,f2ff6d22-ef05-46b5-bc2c-1e5c07310940
58:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,1febfe0e-bc8c-4964-b2f3-727e405943cc
00:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,03:00.0,80e9ab7a-d253-46bb-8c07-f964c3720a3a
03:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,92fbc504-e4b7-4ee4-b3eb-88bea41960a3
04:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,14905abd-4e8f-4b2e-a878-89b8e84daf7b
08:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,2464d6fe-b19c-403a-a8a1-a4221771deb5
10:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,ccab668c-9d85-4e3d-916a-d7267f268058
18:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,9740e29a-5957-41e1-8fd8-693dcb7abc3a
22:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,54ad8158-5e78-443e-bbd9-e32383516735
54:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,55:00.0,664fa111-c505-49b9-acd6-db31ddf62c0e
55:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,c3a838db-e1a2-43b0-9e27-f296460a42b1
58:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,d8eb70b2-1368-4763-a9f2-425d6dcf655d
01:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,ebf8bef7-123a-46c3-88e4-01faf8c85d82
04:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,482e70d4-b930-407f-8c44-381df5d8cb3f
05:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,4b1d0e6f-9518-4b04-ba89-20e289219c18
06:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,edda2a5d-3d85-4020-b60c-dcbfd10d0c37
08:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,2f7ba4dd-9e32-4aa6-99ae-fccf7c6c374d
09:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,11:00.0,5fe966d2-6da0-4aba-b5ce-abfd94074d2d
11:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,282868cc-2cfc-4611-b7b9-4f6de12f92e1
26:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,da92d8e6-7b37-457c-9ca0-9cc152c34c79
28:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,0b3c2e10-ba5a-4466-ae83-16a9f724243b
38:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,f6435e4b-7389-4f6a-b630-fa82a01fd9d6
41:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,85f4438a-81f3-44cb-a9ab-8c82f2496d32
57:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,4a8bf5fe-7963-4941-853c-c29e69b4c175
00:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,9f08d0a3-9616-4399-a679-d345fd6c1448
01:00.0,08daff23-0b12-4695-88c2-70f5302cef7b,,15:40.0,15:40.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,c71204b3-eecc-4080-a012-7aec9f632161
17:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,35:00.0,8110de3d-d34d-48fc-9fbe-56bb1e625cfd
35:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,d182ab10-0312-4eb2-a982-c29cecf870b4
37:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,bdb2dc7d-8ef9-457f-8263-2815cf3063ec
47:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,98b1bd1e-9024-41c0-80dc-01d77d6911a7
49:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,53:00.0,762c8044-4ab9-4a6a-b9c0-c006bee9e8bb
53:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,59:00.0,2edd9aa1-796b-445f-a872-bf9e9736d84e
59:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,079e3674-c8ff-40e5-9410-517126518991
00:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,11:00.0,7c3fab61-67b9-4342-a99e-6b73f1e9a79a
11:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,19:00.0,92243ba2-cbcf-419f-b5a0-d4a551e6f26c
19:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,dbf50947-413c-403c-a54d-56905a44a7c4
24:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,2fb00802-48e0-48c6-8581-5106749f2f99
44:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,4cc9ec96-fe26-4739-842d-4aa5c55d0142
46:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,52:00.0,5a8188b0-875e-4612-ad77-5fee6a8b76b9
52:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,55:00.0,4df0ce22-88fb-4f1a-975b-e8ff624d5bc4
55:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,4e14e3cf-60a2-4064-a068-9b1246c30e0f
57:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,080f997d-a6db-4b28-8a07-6560a883046d
58:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,59:00.0,fb11b965-7317-40ed-97fe-ef7671396d3e
59:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,41ba5638-7754-43bd-8ad2-c2bd7a2b74f3
00:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,25:00.0,bd427410-7285-4ffa-b27c-da5673b3697e
25:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,9a7f1a86-f05e-4c28-b49d-1b3205d9b6e5
26:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,56d5430f-7b79-46cd-8cfe-79a5c2d5fb9a
30:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,209ecbdc-ad6c-4ea5-93f9-78feb13e28d6
31:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,e7bc79cb-2459-4ad7-b04e-ae28046e6ef0
13:00.0,cb5dd597-e774-40ce-a7af-fcfa127916da,,04:59.3,04:59.3,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,2958b090-81af-4e4c-b34c-912813dfcb2e
